scholar_id,name,gender,affiliation,url_picture,i10index,i10index5y,hindex,hindex5y,citedby,citedby5y,num_publications
PBpX1HAAAAAJ,Claudio E. Palazzi,M,"Professor of Computer Science, University of Padua",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PBpX1HAAAAAJ&citpid=6,81,49,33,23,3115,1610,221
k_Ln42wAAAAJ,Georgios Christoforidis,M,"Professor, University of Western Macedonia, Department of Electrical and Computer",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=k_Ln42wAAAAJ&citpid=2,28,25,19,16,1132,840,108
TDN6QJwAAAAJ,Ildefonso Cases (ORCID:0000-0002-8784-5174),M,REDGen BIoinfo,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TDN6QJwAAAAJ&citpid=3,35,19,26,15,2586,688,49
qnMs-XYAAAAJ,Jon Crowcroft,M,University of Cambridge,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qnMs-XYAAAAJ&citpid=2,404,208,94,55,51526,14164,1036
RpYDOJQAAAAJ,Emmanuel Vincent,M,"Senior Research Scientist, Inria",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RpYDOJQAAAAJ&citpid=1,146,113,50,41,13526,8540,322
0Dom3M0AAAAJ,Marko Huttula,M,"Professor, Department of Physics, University of Oulu, Finland",,72,33,22,17,2052,1093,245
9hwXx34AAAAJ,Ahmed E. Hassan,M,"IEEE Fellow, NSERC Steacie Fellow, ACM SIGSOFT Influential Educator, School of Computing, Queen's",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9hwXx34AAAAJ&citpid=5,305,255,82,61,22115,14458,650
KvAGGEkAAAAJ,Olivier Curé,M,Associate prof. Université Paris Est France LIGM,,26,17,16,15,1002,626,136
DxRuSZsAAAAJ,Ayotunde Oluwaseun Laiyemo,M,"Centre for wireless communications, University of Oulu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DxRuSZsAAAAJ&citpid=1,1,1,4,4,37,36,10
7LgerbUAAAAJ,Junaid Ansari,M,Ericsson Research,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7LgerbUAAAAJ&citpid=4,33,18,22,12,2334,1578,105
oI6AIkMAAAAJ,Sergio Escalera,M,"Full Professor, ICREA Academia, University of Barcelona, Computer Vision Center UAB, ELLIS Fellow",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oI6AIkMAAAAJ&citpid=9,154,131,49,41,7991,6171,440
Lj6r908AAAAJ,Jin Nakazawa,M,"Faculty of Environment and Information Studies, Keio University",,37,17,17,12,1300,642,246
Y-nyLGIAAAAJ,Stan Z. Li (李子青),M,Westlake University & CAS Institute of Automation,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Y-nyLGIAAAAJ&citpid=2,245,194,127,78,47707,24454,609
g628b44AAAAJ,Adam Wojciechowski(3),M,Instytut Logistyki i Magazynowania,,3,3,5,5,208,107,214
nUDzsZsAAAAJ,Roderic Guigo,M,"Professor of Bioinformatics, Center for Genomic Regulation, Universitat Pompeu Fabra",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nUDzsZsAAAAJ&citpid=3,225,191,113,90,120985,59272,433
k14Yl3MAAAAJ,Francisco Vasques,M,"Associate Professor, University of Porto, Portugal",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=k14Yl3MAAAAJ&citpid=2,93,37,27,17,3262,1215,297
